question,answer,context,reference
Quais são os critérios para concessão do aproveitamento de estudos no IFSP?,"O conteúdo e a carga horária do(s) componente(s) curricular(es) analisado(s) devem equivaler a, no mínimo, 80% do componente curricular para o qual foi solicitado o aproveitamento.","Art 128 - O aproveitamento de estudos será concedido quando o conteúdo e a carga horária do(s) componente(s) curricular(es) analisado(s) equivaler(em) a, no mínimo, 80% (oitenta por cento) do componente curricular para o qual foi solicitado o aproveitamento.","Organização Didática da Educação Básica, Título VIII, Capítulo IV, Art 128"
Quais são as restrições para o aproveitamento de estudos de componentes curriculares cursados em outra instituição de ensino?,O aproveitamento de estudos de componentes curriculares cursados em outra instituição de ensino não pode ser superior a 50% da carga horária total do curso do IFSP.,Art 128 - § 3º. O aproveitamento de estudos de componentes curriculares cursados em outras instituições não poderá ser superior a 50% (cinquenta por cento) da carga horária total do curso do IFSP.,"Organização Didática da Educação Básica, Título VIII, Capítulo IV, Art 128"
Como é feita a comunicação do resultado do processo de aproveitamento de estudos ao estudante?,A Coordenadoria de Registros Acadêmicos ou equivalente deve dar ciência do resultado do processo ao requerente.,Art 130 - A Coordenadoria de Registros Acadêmicos ou equivalente deverá dar ciência do resultado do processo ao requerente.,"Organização Didática da Educação Básica, Título VIII, Capítulo IV, Art 130"
Quais são as condições para um estudante cursar dependências em outro turno ou em componentes curriculares correlatos de cursos afins?,"Havendo disponibilidade de vaga, o estudante poderá cursar as dependências em outro turno ou em componentes curriculares correlatos de cursos afins, quando aprovado pelo Coordenador de Curso e/ou Comissão de elaboração e implementação de cursos (CEIC).","§ 2º. Havendo disponibilidade de vaga, o estudante poderá cursar as dependências em outro turno ou em componentes curriculares correlatos de cursos afins, quando aprovado pelo Coordenador de Curso e/ou Comissão de elaboração e implementação de cursos (CEIC).","Organização Didática da Educação Básica, Título VIII, Capítulo V, Art. 132"
Quais são os requisitos para um estudante ser considerado aprovado em uma dependência?,"O estudante é considerado aprovado na dependência se obtiver nota final igual ou superior a 6,0 (seis), e frequência mínima de 75% (setenta e cinco por cento) no componente curricular, e se necessário, após a reavaliação.","§ 1º. Considera-se APROVADO na dependência o estudante que obtenha nota final igual ou superior a 6,0 (seis), e frequência mínima de 75% (setenta e cinco por cento) no componente curricular, e se necessário, após a reavaliação.","Organização Didática da Educação Básica, Título VIII, Capítulo V, Art. 132"
Quais são os casos em que o Regime Especial de Dependência pode ser aplicado?,"O Regime Especial de Dependência aplica-se aos estudantes que não tenham sido reprovados por falta no respectivo componente curricular e para os componentes curriculares previamente definidos no PPC, justificada sua viabilidade.","§ 3º. O Regime Especial de Dependência aplica-se aos seguintes casos: I - para os estudantes que não tenham sido reprovados por falta no respectivo componente curricular; II - para os componentes curriculares previamente definidos no PPC, justificada sua viabilidade.","Organização Didática da Educação Básica, Título VIII, Capítulo V, Art. 134"
Quais são as responsabilidades do IFSP em relação às dependências?,Caberá ao IFSP buscar mecanismos para que os componentes curriculares em regime de dependência sejam ofertados.,Art. 133 - Caberá ao IFSP buscar mecanismos para que os componentes curriculares em regime de dependência sejam ofertados.,"Organização Didática da Educação Básica, Título VIII, Capítulo V, Art. 133"
Quais são as condições para um estudante cursar dependências como estudante especial em outro câmpus do IFSP?,"O estudante poderá cursar as dependências como estudante especial em qualquer câmpus do IFSP, em componentes curriculares correlatos, de cursos afins, quando aprovado pelo Coordenador de Curso ou Comissão de elaboração e implementação de cursos, solicitando o aproveitamento de estudos no câmpus de origem.","§ 3º. O estudante poderá cursar as dependências como estudante especial em qualquer câmpus do IFSP, em componentes curriculares correlatos, de cursos afins, quando aprovado pelo Coordenador de Curso ou Comissão de elaboração e implementação de cursos, solicitando o aproveitamento de estudos no câmpus de origem.","Organização Didática da Educação Básica, Título VIII, Capítulo V, Art. 132"
O que é a prática profissional no IFSP?,"A prática profissional é um procedimento didático-pedagógico que contextualiza, articula e inter-relaciona os saberes aprendidos, relacionando teoria e prática.","Art 135 - A prática profissional configurar-se-á como um procedimento didático-pedagógico que contextualiza, articula e inter-relaciona os saberes aprendidos, relacionando teoria e prática, a partir da atitude de desconstrução e (re)construção do conhecimento, viabilizando ações que conduzam ao aperfeiçoamento técnico-científico-cultural e de relacionamento humano.","Organização Didática da Educação Básica, Título VIII, Capítulo VI, Art 135"
Quais são as formas de prática profissional no IFSP?,As formas de prática profissional no IFSP são o Projeto Integrador e o Estágio Profissional Supervisionado.,"Art 136 - A prática profissional será realizada de acordo com o previsto no projeto pedagógico do curso em que o estudante esteja matriculado, e será desenvolvida como: I - Projeto integrador; II - Estágio profissional supervisionado.","Organização Didática da Educação Básica, Título VIII, Capítulo VI, Art 136"
O que é o Estágio Profissional Supervisionado no IFSP?,"O Estágio Profissional Supervisionado é uma modalidade específica de estágio curricular supervisionado, desenvolvido em situação real de trabalho, que deve ser previsto em todos os PPCs.","Art 142 - O estágio profissional, modalidade específica de estágio curricular supervisionado, compreende ato educativo escolar, desenvolvido em situação real de trabalho e que deve ser previsto, em caráter obrigatório ou não, em todos os PPCs.","Organização Didática da Educação Básica, Título VIII, Capítulo VI, Art 142"
Quais são os objetivos do Estágio Profissional Supervisionado no IFSP?,"Os objetivos do Estágio Profissional Supervisionado são possibilitar ao estudante o exercício da prática profissional, favorecer o ingresso do estudante no mundo do trabalho e promover a integração do IFSP com a sociedade em geral e com o mundo do trabalho.","Art 144 - São objetivos do estágio supervisionado: I - possibilitar ao estudante o exercício da prática profissional, aliando a teoria à prática, como parte integrante de sua formação; II - favorecer o ingresso do estudante no mundo do trabalho; III - promover a integração do IFSP com a sociedade em geral e com o mundo do trabalho.","Organização Didática da Educação Básica, Título VIII, Capítulo VI, Art 144"
Como é feito o registro da prática profissional no IFSP?,"O registro da prática profissional é feito no sistema acadêmico, pelo professor do componente curricular ou pela Coordenadoria de Extensão, dependendo do tipo de prática profissional.","Art 137 - O registro da prática profissional deverá ser efetuado no sistema acadêmico, da seguinte forma: I - em relação ao inciso I do artigo anterior, pelo professor do componente curricular; II - em relação ao inciso II, após o recebimento do relatório das atividades, de acordo com a regulamentação do IFSP, pela Coordenadoria de Extensão.","Organização Didática da Educação Básica, Título VIII, Capítulo VI, Art 137"
O que é o Trabalho de Conclusão de Curso (TCC) no IFSP?,"O TCC é um trabalho acadêmico realizado sob a supervisão e coordenação de um orientador, resultante de estudos de pesquisa decorrentes de aprofundamento em temas específicos, mas diretamente relacionados aos conteúdos trabalhados nos componentes curriculares do curso ou em suas bases científicas.","Art 149 - O Trabalho de Conclusão de Curso (TCC) constituir-se-á em trabalho acadêmico, realizado sob a supervisão e coordenação de um orientador, resultante de estudos de pesquisa decorrentes de aprofundamento em temas específicos, mas diretamente relacionados aos conteúdos trabalhados nos componentes curriculares do curso ou em suas bases científicas.","Organização Didática da Educação Básica, TÍTULO VIII DO DESENVOLVIMENTO DO ENSINO, CAPÍTULO VII DO TRABALHO DE CONCLUSÃO DE CURSO, Art 149"
Quando o TCC é obrigatório no IFSP?,O TCC é obrigatório quando está previsto como obrigatório no PPC e sua entrega e aprovação é pré-requisito para a integralização do curso.,"§ 1º. Caso o TCC esteja previsto como obrigatório no PPC, sua entrega e aprovação será pré-requisito para a integralização do curso.","Organização Didática da Educação Básica, TÍTULO VIII DO DESENVOLVIMENTO DO ENSINO, CAPÍTULO VII DO TRABALHO DE CONCLUSÃO DE CURSO, Art 150, § 1º"
Como é feita a avaliação da relevância do TCC no IFSP?,A Comissão de Elaboração e Implementação de Projeto Pedagógico de Curso avalia a relevância e a pertinência da realização de Trabalho de Conclusão de Curso para o alcance do perfil profissional de conclusão.,§ 2º. A Comissão de Elaboração e Implementação de Projeto Pedagógico de Curso deverá avaliar a relevância e a pertinência da realização de Trabalho de Conclusão de Curso para o alcance do perfil profissional de conclusão.,"Organização Didática da Educação Básica, TÍTULO VIII DO DESENVOLVIMENTO DO ENSINO, CAPÍTULO VII DO TRABALHO DE CONCLUSÃO DE CURSO, Art 150, § 2º"
Como é feita a apresentação do TCC no IFSP?,"A versão final do TCC fará parte do acervo bibliográfico da instituição, na forma de versão eletrônica e/ou de um exemplar impresso e encadernado, depositado na biblioteca do câmpus.","Art 153 - A versão final do TCC fará parte do acervo bibliográfico da instituição, na forma de versão eletrônica e/ou de um exemplar impresso e encadernado, depositado na biblioteca do câmpus.","Organização Didática da Educação Básica, TÍTULO VIII DO DESENVOLVIMENTO DO ENSINO, CAPÍTULO VII DO TRABALHO DE CONCLUSÃO DE CURSO, Art 153"
Quem é responsável pelo registro do resultado do TCC no IFSP?,O Professor-Orientador é responsável pelo registro do resultado do TCC.,§ 1º. O registro do resultado do TCC deve ser inserido no sistema pelo Professor-Orientador.,"Organização Didática da Educação Básica, TÍTULO VIII DO DESENVOLVIMENTO DO ENSINO, CAPÍTULO VII DO TRABALHO DE CONCLUSÃO DE CURSO, Art 153, § 1º"
Quem é responsável pelo registro das informações acadêmicas dos estudantes no IFSP?,A Coordenadoria de Registros Acadêmicos ou equivalente é responsável pelo registro das informações acadêmicas dos estudantes no IFSP.,"Art 154 - Para os estudantes com matrícula ativa, o registro das informações acadêmicas abaixo descritas será de responsabilidade da Coordenadoria de Registros Acadêmicos ou equivalente.","Organização Didática da Educação Básica, Título IX, Capítulo I, Art 154"
O que deve ser registrado pelo docente no diário de classe?,"O registro da frequência e do rendimento dos estudantes, da recuperação contínua e paralela, bem como dos conteúdos ministrados e das atividades desenvolvidas nos componentes curriculares.","Art 155 - O registro da frequência e do rendimento dos estudantes, da recuperação contínua e paralela, bem como dos conteúdos ministrados e das atividades desenvolvidas nos componentes curriculares, e os casos de compensação de falta, deverá ser feito pelo docente no diário de classe, de acordo com as determinações do IFSP.","Organização Didática da Educação Básica, Título IX, Capítulo I, Art 155"
Quem tem acesso irrestrito aos dados contidos no prontuário do estudante?,"O estudante ou seu representante legal, nos casos de menores de 18 (dezoito) anos.","Art 160 - O estudante ou seu representante legal, nos casos de menores de 18 (dezoito) anos, terá acesso irrestrito aos dados contidos no prontuário discente, podendo solicitar vistas ou cópia digital a qualquer tempo, mediante solicitação via formulário específico.","Organização Didática da Educação Básica, Título IX, Capítulo I, Art 160"
Quem é responsável pela guarda da documentação de todos os estudantes do câmpus?,A Coordenadoria de Registros Acadêmicos ou equivalente.,"Art 156 - A guarda da documentação de todos os estudantes do câmpus será de responsabilidade da Coordenadoria de Registros Acadêmicos ou equivalente, salvo os que forem eletronicamente arquivados.","Organização Didática da Educação Básica, Título IX, Capítulo I, Art 156"
Quem deve realizar o acompanhamento do registro dos conteúdos ministrados e das atividades desenvolvidas pelos docentes?,O Coordenador de Curso.,"Art 157 - O Coordenador de Curso deverá, periodicamente, realizar o acompanhamento do registro dos conteúdos ministrados e das atividades desenvolvidas pelos docentes, nos diários de classe.","Organização Didática da Educação Básica, Título IX, Capítulo I, Art 157"
O que é mobilidade de estudantes no IFSP?,A mobilidade de estudantes é a possibilidade de realizar intercâmbio de estudantes do IFSP para outras instituições de ensino ou de estudantes de outras instituições de ensino para o IFSP.,Art 199 - A mobilidade de estudantes poderá ser realizada por meio de: I - intercâmbio de estudantes do IFSP para outras instituições de ensino; II - intercâmbio de estudantes de outras instituições de ensino para o IFSP.,"Organização Didática da Educação Básica, Título IX, Capítulo IV, Art 199"
Quais são os requisitos para um estudante do IFSP realizar intercâmbio em outra instituição?,"O estudante deve requerer na Coordenadoria de Registros Acadêmicos a dispensa para realização de intercâmbio, e o Coordenador de Curso deve aprovar a participação do estudante.","Art 200 - É facultado ao estudante regularmente matriculado no IFSP cursar, por meio de intercâmbio, componentes curriculares em instituições de ensino conveniadas. § 2º. O estudante deverá requerer na Coordenadoria de Registros Acadêmicos ou equivalente a dispensa para realização de intercâmbio.","Organização Didática da Educação Básica, Título IX, Capítulo IV, Art 200"
O que é um Plano de Estudos para um estudante em intercâmbio?,"O Plano de Estudos é um documento que contém a listagem dos componentes curriculares, suas ementas e/ou programas e a carga horária que o estudante cumprirá na instituição de destino.","Art 201 - O estudante deverá analisar, em conjunto com o Coordenador do Curso, as atividades que pretende desenvolver e elaborar um Plano de Estudos. § 1º. O Plano de Estudos deverá conter a listagem dos componentes curriculares, suas ementas e/ou programas e a carga horária que cumprirá na instituição de destino.","Organização Didática da Educação Básica, Título IX, Capítulo IV, Art 201"
Como são aproveitados os componentes curriculares cumpridos com êxito em outra instituição?,Os componentes curriculares cumpridos com êxito em outra instituição são aproveitados sob a rubrica “Aproveitamento de Estudos em Intercâmbio” e relacionados no histórico acadêmico do estudante.,"Art 202 - Os componentes curriculares cumpridos com êxito na instituição de destino poderão ser aproveitados, sob a rubrica “Aproveitamento de Estudos em Intercâmbio”. § 1º. Todos os componentes cursados, inclusive os não aproveitados, serão relacionados no histórico acadêmico do estudante, com a carga horária total cumprida e o desempenho obtido.","Organização Didática da Educação Básica, Título IX, Capítulo IV, Art 202"
Quais são os direitos de um estudante em intercâmbio no IFSP?,"O estudante em intercâmbio no IFSP não tem direito a trancamento de matrícula ou a cancelamento de componente curricular, mas pode requerer declaração de conclusão dos componentes curriculares cursados com aprovação.",Art 203 - É facultado ao estudante regularmente matriculado em instituições de ensino conveniadas com o IFSP cumprir componentes curriculares no IFSP. § 2º. O estudante em intercâmbio não terá direito a trancamento de matrícula ou a cancelamento de componente curricular. § 3º. O estudante em intercâmbio poderá requerer declaração de conclusão dos componentes curriculares cursados com aprovação.,"Organização Didática da Educação Básica, Título IX, Capítulo IV, Art 203"
Quais são os requisitos para que um estudante faça jus ao respectivo Certificado ou Diploma?,"O estudante deve integralizar todos os componentes curriculares, a prática profissional e demais atividades previstas no projeto pedagógico do curso e exigências previstas nesta Organização Didática.","Art 220 - Após integralizar todos os componentes curriculares, a prática profissional e demais atividades previstas no projeto pedagógico do curso e exigências previstas nesta Organização Didática, o estudante fará jus ao respectivo Certificado ou Diploma.","Organização Didática da Educação Básica, Título IX, Capítulo VI, Art 220"
Quem é responsável pela emissão do Diploma ou Certificado?,A Coordenadoria de Registros Acadêmicos ou equivalente do câmpus ao qual o estudante está vinculado.,"§ 2º. Cabe à Coordenadoria de Registros Acadêmicos ou equivalente do câmpus ao qual o estudante está vinculado as providências para a emissão do Diploma ou Certificado, atendendo à solicitação do interessado.","Organização Didática da Educação Básica, Título IX, Capítulo VI, Art 220"
Quais são os tipos de documentos que podem ser emitidos pelo IFSP?,Diplomas e Certificados.,"Art 220 - Após integralizar todos os componentes curriculares, a prática profissional e demais atividades previstas no projeto pedagógico do curso e exigências previstas nesta Organização Didática, o estudante fará jus ao respectivo Certificado ou Diploma.","Organização Didática da Educação Básica, Título IX, Capítulo VI, Art 220"
Quais são os requisitos para solicitar a emissão do Diploma dos cursos técnicos de nível médio?,"O estudante deve haver integralizado todos os componentes curriculares, obrigatórios e eletivos, previstos na estrutura curricular do curso; haver cumprido a prática profissional, se obrigatória; haver cumprido, com a entrega da versão final, o TCC, caso este esteja previsto; apresentar termo de quitação de compromissos da biblioteca do câmpus; e ter entregue a documentação exigida para emissão de diploma na Coordenadoria de Registros Acadêmicos ou equivalente.","Art 225 - A solicitação de emissão do Diploma dos cursos técnicos de nível médio pode ser feita pelo estudante que cumprir as seguintes exigências: I - haver integralizado todos os componentes curriculares, obrigatórios e eletivos, previstos na estrutura curricular do curso; II - haver cumprido a prática profissional, se obrigatória, com relatórios de cumprimento de cada etapa e/ou atividades aprovadas pelo(s) orientador(es), conforme consta no PPC; III - haver cumprido, com a entrega da versão final, o TCC, caso este esteja previsto; IV - apresentar termo de quitação de compromissos da biblioteca do câmpus; V - ter entregue a documentação exigida para emissão de diploma na Coordenadoria de Registros Acadêmicos ou equivalente.","Organização Didática da Educação Básica, Título IX, Capítulo VI, Art 225"
O que é uma etapa com terminalidade?,"A conclusão intermediária de cursos que caracterize uma qualificação para o trabalho, claramente definida e com identidade própria.","§ 1º. Considera-se etapa com terminalidade a conclusão intermediária de cursos que caracterize uma qualificação para o trabalho, claramente definida e com identidade própria.","Organização Didática da Educação Básica, Título IX, Capítulo VI, Art 224"
O que o IFSP faz em relação à revalidação de diplomas estrangeiros?,"O IFSP tem procedimentos próprios para a revalidação de diplomas de cursos técnicos, de acordo com toda a legislação vigente e com as regulamentações internas.","Art 228 - O IFSP, tem procedimentos próprios para a Revalidação de Diplomas de Cursos Técnicos, de acordo com toda a legislação vigente e com as regulamentações internas.","Documento: Organização Didática da Educação Básica, Título: TÍTULO IX DA GESTÃO ACADÊMICA, Capítulo: CAPÍTULO VII DA REVALIDAÇÃO DE DIPLOMAS ESTRANGEIROS, Art 228"
