question,answer,context,reference
Quais são os requisitos para um estudante do IFSP participar de intercâmbio em outra instituição?,"O estudante deve ser regularmente matriculado no IFSP, aprovar o Plano de Estudos pelo Colegiado do Curso e, se for para instituição estrangeira, comprovar proficiência em língua estrangeira.","Art 81 - É facultado ao estudante regularmente matriculado no IFSP cursar, por meio de intercâmbio, componentes curriculares em instituições de ensino conveniadas. § 3º. Quando o intercâmbio for com instituição estrangeira, o estudante poderá ser solicitado a comprovar proficiência em língua estrangeira, de acordo com os critérios estabelecidos pela instituição de destino.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo IV, Art 81"
Quem é responsável pelo acompanhamento da realização das atividades previstas no Plano de Estudos do estudante em intercâmbio?,"O Coordenador do Curso, ou outro servidor designado pelo Colegiado do Curso, é responsável pelo acompanhamento da realização das atividades previstas no Plano de Estudos.","Art 83 - O Coordenador do Curso, ou outro servidor designado pelo Colegiado do Curso, ficará responsável pelo acompanhamento da realização das atividades previstas no Plano de Estudos.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo IV, Art 83"
O que acontece com os componentes curriculares cumpridos com êxito na instituição de destino?,"Os componentes curriculares cumpridos com êxito na instituição de destino poderão ser aproveitados e relacionados no histórico acadêmico do estudante, sob a rubrica “Aproveitamento de Estudos em Intercâmbio”, com a carga horária total cumprida.","Art 84 - Os componentes curriculares cumpridos com êxito na instituição de destino poderão ser aproveitados e relacionados no histórico acadêmico do estudante, sob a rubrica “Aproveitamento de Estudos em Intercâmbio”, com a carga horária total cumprida.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo IV, Art 84"
Quais são as condições para um estudante de outra instituição participar de intercâmbio no IFSP?,"O estudante deve ser regularmente matriculado em instituição de ensino conveniada com o IFSP, aprovar o Plano de Estudos pelo Colegiado de Curso e declarar aceitação das normas do IFSP.",Art 86 - O Colegiado de Curso ou Coordenador de Curso deverá aprovar o Plano de Estudos de estudantes que solicitarem intercâmbio no IFSP. Art 88 - O estudante em intercâmbio submeter-se-á às seguintes condições: I - declarar aceitação das normas do IFSP;,"Organização Didática dos Cursos de Graduação, Título IV, Capítulo IV, Art 86 e 88"
O que é o Regime Especial de Dependência no IFSP?,"O Regime Especial de Dependência é um regime que permite ao estudante cursar as dependências em outro turno ou em componentes curriculares correlatos de cursos afins, com atividades de avaliação e atendimento programadas pelo docente e referendadas pelo Colegiado de Curso, com no mínimo 40% da carga horária total do componente curricular de forma presencial.","Art 109 - Poderá ser oferecido o Regime Especial de Dependência. § 1º. O regime de que trata o caput deverá ter suas atividades de avaliação e atendimento programadas pelo docente e referendadas pelo Colegiado de Curso, com o oferecimento de, no mínimo, 40% (quarenta por cento) da carga horária total do componente curricular de forma presencial.","Documento: Organização Didática dos Cursos de Graduação, Título: TÍTULO IV DA GESTÃO ACADÊMICA, Capítulo: CAPÍTULO VII DAS DEPENDÊNCIAS, Art 109"
Quais são os casos em que o Regime Especial de Dependência se aplica?,"O Regime Especial de Dependência se aplica aos estudantes que não tenham sido reprovados por falta no respectivo componente curricular, para os componentes curriculares definidos pelo Colegiado de Curso que tenham disponibilidade de docentes no câmpus, e em turmas de componentes curriculares regulares em que o estudante em regime especial de dependência, em conjunto com o professor, faça seu plano de estudos e datas de frequência na disciplina.","§ 3º. O Regime Especial de Dependência aplica-se aos seguintes casos: I - para os estudantes que não tenham sido reprovados por falta no respectivo componente curricular; II - para os componentes curriculares definidos pelo Colegiado de Curso, que tenham disponibilidade de docentes no câmpus. III - em turmas de componentes curriculares regulares em que o estudante em regime especial de dependência, em conjunto com o professor, faça seu plano de estudos e datas de frequência na disciplina, cumprindo, presencialmente, o mínimo de 40% daquele componente curricular.","Documento: Organização Didática dos Cursos de Graduação, Título: TÍTULO IV DA GESTÃO ACADÊMICA, Capítulo: CAPÍTULO VII DAS DEPENDÊNCIAS, Art 109"
Quais são os requisitos para que um estudante faça jus ao respectivo Certificado ou Diploma?,"O estudante deve integralizar todos os componentes curriculares, a prática profissional e demais atividades previstas no projeto pedagógico do curso e exigências previstas nesta Organização Didática.","Art 110 - Após integralizar todos os componentes curriculares, a prática profissional e demais atividades previstas no projeto pedagógico do curso e exigências previstas nesta Organização Didática, o estudante fará jus ao respectivo Certificado ou Diploma.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo VIII, Art 110"
Quem é responsável pela emissão do Diploma ou Certificado?,A Coordenadoria de Registros Acadêmicos do câmpus ao qual o estudante está vinculado é responsável pelas providências para a emissão do Diploma ou Certificado.,"§ 2º. Cabe à Coordenadoria de Registros Acadêmicos do câmpus ao qual o estudante está vinculado as providências para a emissão do Diploma ou Certificado, atendendo à solicitação do interessado.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo VIII, Art 110"
Quais são os requisitos para solicitar a emissão do Diploma dos cursos superiores de graduação?,"O estudante deve cumprir as seguintes exigências: integralizar todos os componentes curriculares, cumprir a prática profissional, cumprir o TCC, apresentar termo de quitação de compromissos, estar com a situação regular referente ao ENADE, participar da solenidade de outorga de grau e ter entregue a documentação exigida.","Art 113 - A solicitação de emissão do Diploma dos cursos superiores de graduação pode ser feita pelo estudante que cumprir as seguintes exigências: I - haver integralizado todos os componentes curriculares previstos na estrutura curricular do curso e todas as atividades obrigatórias constantes do PPC do curso; II - haver cumprido a prática profissional, se obrigatória, com relatórios de cumprimento de cada etapa e/ou atividades aprovadas pelo(s) orientador(es), conforme consta no PPC; III - haver cumprido, com a entrega da versão final, o TCC, caso este esteja previsto; IV - apresentar termo de quitação de compromissos (nada consta) da biblioteca do câmpus; V - estar com a situação regular referente ao ENADE; VI - participar da solenidade de outorga de grau; VII - ter entregue a documentação exigida para emissão de diploma na Coordenadoria de Registros Acadêmicos ou equivalente.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo VIII, Art 113"
Quem assina os certificados?,"Os certificados são assinados pelo Diretor-Geral do câmpus, pelo concluinte e pelo responsável pela Coordenadoria de Registros Acadêmicos do câmpus.","Art 111 - Os certificados serão assinados, pelo Diretor-Geral do câmpus, pelo concluinte e pelo responsável pela Coordenadoria de Registros Acadêmicos do câmpus.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo VIII, Art 111"
O que é uma etapa com terminalidade?,"Uma etapa com terminalidade é a conclusão intermediária de cursos que caracterize uma qualificação para o trabalho, claramente definida e com identidade própria.","§ 1º. Considera-se etapa com terminalidade a conclusão intermediária de cursos que caracterize uma qualificação para o trabalho, claramente definida e com identidade própria.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo VIII, Art 112"
O que é necessário para um estudante participar da solenidade de colação de grau?,"Para participar da solenidade de colação de grau, o estudante deve integralizar todos os componentes curriculares previstos no Projeto Pedagógico de Curso, cumprir a prática profissional com relatório aprovado, apresentar o TCC com a entrega da versão final aprovada, integralizar a carga horária prevista no projeto pedagógico de curso e apresentar termo de quitação de compromissos da biblioteca.","Art 117 - Somente poderá requerer outorga de grau à Direção-Geral do câmpus, em formulário próprio na Coordenadoria de Registros Acadêmicos (CRA) ou equivalente, o estudante que tenha integralizado o seu curso, cumprindo todos os componentes curriculares e todas as atividades obrigatórias constantes do PPC do curso. § 1º. Estará apto a participar da solenidade os estudantes que, até a data de agendamento da solenidade: I - integralizar todas os componentes curriculares previstos no Projeto Pedagógico de Curso, inclusive o Exame Nacional de Desempenho de Estudantes (ENADE); II - cumprir a prática profissional com relatório aprovado pelo orientador, caso conste como atividade obrigatória no PPC do curso; III - apresentar o TCC, caso haja previsão, com a entrega da versão final aprovada; IV - integralizar a carga horária prevista no projeto pedagógico de curso; e V - apresentar termo de quitação de compromissos (nada consta) da biblioteca.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo X, Art 117"
Quais são as situações em que um estudante pode requerer outorga de grau extemporânea?,"O estudante pode requerer outorga de grau extemporânea em caso de realização de concurso, viagens de estudo para o exterior ou mudança de residência para outro Estado ou País.",Art 121 - A outorga de grau extemporânea será analisada e poderá ser deferida ou indeferida pelo Diretor-Geral do câmpus para as seguintes situações: I - realização de concurso; II - viagens de estudo para o exterior; III - mudança de residência para outro Estado ou País.,"Organização Didática dos Cursos de Graduação, Título IV, Capítulo X, Art 121"
O que o IFSP faz para acompanhar a frequência e o desempenho acadêmico dos estudantes?,"O IFSP desenvolve ações de acompanhamento da frequência e do desempenho acadêmico dos estudantes, com o objetivo de desenvolver ações de intervenção que garantam aos estudantes a inserção, a permanência e o êxito.","Art 125 - Deverão ser previstas estratégias de acompanhamento da frequência e do desempenho acadêmico dos estudantes de todos os cursos do IFSP, com o objetivo de desenvolver ações de intervenção que garantam aos estudantes a inserção, a permanência e o êxito.","Título V do Desenvolvimento do Ensino, Capítulo I do Acompanhamento da Frequência e Desenvolvimento Acadêmico dos Estudantes, Art 125"
Quais são os espaços privilegiados para o desenvolvimento de ações de acompanhamento da frequência e do desempenho acadêmico dos estudantes?,"Os espaços privilegiados são as reuniões pedagógicas e de grupos, e as reuniões de Colegiado de Curso e da Diretoria Adjunta Educacional.",Art 126 - Constituem espaços privilegiados para o desenvolvimento de ações de acompanhamento da frequência e do desempenho acadêmico dos estudantes: I - reuniões pedagógicas e de grupos; II - reuniões de Colegiado de Curso e da Diretoria Adjunta Educacional.,"Título V do Desenvolvimento do Ensino, Capítulo I do Acompanhamento da Frequência e Desenvolvimento Acadêmico dos Estudantes, Art 126"
O que o IFSP oferece para os estudantes com necessidades educacionais específicas?,"O IFSP oferece apoios necessários para o desenvolvimento das atividades de ensino e aprendizagem, por meio do Núcleo de Apoio às Pessoas com Necessidades Educacionais Específicas (NAPNE).","Art 127 - Os estudantes com necessidades educacionais específicas, nos termos do Decreto nº 3.298/1999 e da Lei nº 7.853/ 1989, poderão requerer ao Núcleo de Apoio às Pessoas com Necessidades Educacionais Específicas (NAPNE) a provisão dos apoios necessários para o desenvolvimento das atividades de ensino e aprendizagem.","Título V do Desenvolvimento do Ensino, Capítulo I do Acompanhamento da Frequência e Desenvolvimento Acadêmico dos Estudantes, Art 127"
Quem é responsável pela regulação e avaliação dos cursos do IFSP?,"A Pró-Reitoria de Ensino, os Núcleos Docentes Estruturantes (NDE), os Colegiados de Cursos, Comissões Próprias de Avaliação (CPA), Conselho de Câmpus (CONCAM) ou equivalente de cada câmpus e o Conselho de Ensino (CONEN).","Art 129 - A regulação e a avaliação dos cursos do IFSP serão de competência da Pró-Reitoria de Ensino, bem como dos Núcleos Docentes Estruturantes (NDE), os Colegiados de Cursos, Comissões Próprias de Avaliação (CPA), Conselho de Câmpus (CONCAM) ou equivalente de cada câmpus e o Conselho de Ensino (CONEN).","Organização Didática dos Cursos de Graduação, Título V, Capítulo II, Art 129"
O que é a prática profissional no IFSP?,"A prática profissional é um procedimento didático-pedagógico que contextualiza, articula e inter-relaciona os saberes apreendidos, relacionando teoria e prática.","Art 147 - A prática profissional configurar-se-á como um procedimento didático-pedagógico que contextualiza, articula e inter-relaciona os saberes apreendidos, relacionando teoria e prática, a partir da atitude de desconstrução e (re)construção do conhecimento, viabilizando ações que conduzam ao aperfeiçoamento técnico-científico-cultural e de relacionamento humano.","Organização Didática dos Cursos de Graduação, Título V, Capítulo IV, Art 147"
Quais são as modalidades de prática profissional no IFSP?,"As modalidades de prática profissional no IFSP são: componente curricular específico, prática como componente curricular, estágio curricular supervisionado e atividades teórico-práticas de aprofundamento.","Art 148 - A prática profissional será realizada de acordo com o previsto no projeto pedagógico do curso em que o estudante esteja matriculado, podendo ser desenvolvida por meio das seguintes modalidades, que não se justapõem entre si: I - componente curricular específico; II - prática como componente curricular, nos cursos de licenciatura; III - estágio curricular supervisionado; IV - atividades teórico-práticas de aprofundamento, registradas por meio de comprovação de participação ou de produção acadêmica.","Organização Didática dos Cursos de Graduação, Título V, Capítulo IV, Art 148"
O que são projetos integradores no IFSP?,"Os projetos integradores são os que articulam ensino, pesquisa e extensão e permear todos os períodos dos cursos, devendo contemplar a aplicação dos conhecimentos adquiridos durante o curso.","Art 151 - Os projetos integradores são os que articulam ensino, pesquisa e extensão e poderão permear todos os períodos dos cursos, devendo contemplar a aplicação dos conhecimentos adquiridos durante o curso, tendo em vista a intervenção no mundo do trabalho e na realidade social, contribuindo para o desenvolvimento local e a solução de problemas.","Organização Didática dos Cursos de Graduação, Título V, Capítulo IV, Art 151"
Qual é o objetivo do estágio supervisionado no IFSP?,"O objetivo do estágio supervisionado é possibilitar ao estudante o exercício da prática profissional, aliando a teoria à prática, como parte integrante de sua formação.","Art 156 - São objetivos do estágio supervisionado: I - possibilitar ao estudante o exercício da prática profissional, aliando a teoria à prática, como parte integrante de sua formação; II - facilitar o ingresso do estudante no mundo do trabalho; e III - promover a integração do IFSP com a sociedade em geral e com o mundo do trabalho.","Organização Didática dos Cursos de Graduação, Título V, Capítulo IV, Art 156"
Quais são as atividades teórico-práticas de aprofundamento no IFSP?,"As atividades teórico-práticas de aprofundamento são formas de atividades que complementam a prática profissional, envolvendo ensino, pesquisa e extensão.","Art 161 - Complementando a prática profissional, os projetos pedagógicos dos cursos poderão prever outras formas de atividades teórico-práticas de aprofundamento, envolvendo ensino, pesquisa e extensão.","Organização Didática dos Cursos de Graduação, Título V, Capítulo IV, Art 161"
O que é o Trabalho de Conclusão de Curso (TCC) no IFSP?,O TCC é uma produção acadêmica que expresse as competências e as habilidades desenvolvidas ou os conhecimentos adquiridos pelos estudantes durante o curso.,Art 163 - O Trabalho de Conclusão do Curso (TCC) corresponde a uma produção acadêmica que expresse as competências e as habilidades desenvolvidas ou os conhecimentos adquiridos pelos estudantes durante o curso.,"Organização Didática dos Cursos de Graduação, Título V, Capítulo V, Art 163"
Quais são as formas de produção acadêmica consideradas como Trabalho de Conclusão de Curso?,"As formas de produção acadêmica consideradas como TCC são: monografia, artigo publicado em revista ou periódico, com ISSN, na classificação Qualis A ou B, e capítulo de livro publicado, com ISBN.","Art 166 - Serão consideradas produções acadêmicas de TCC, a serem previstas no projeto pedagógico do curso, dentre outras: I - Monografia; II - Artigo publicado em revista ou periódico, com ISSN, na classificação Qualis A ou B; e III - Capítulo de livro publicado, com ISBN.","Organização Didática dos Cursos de Graduação, Título V, Capítulo V, Art 166"
O que acontece com a versão final do Trabalho de Conclusão de Curso?,"A versão final do TCC fará parte do acervo bibliográfico da instituição, na forma de versão eletrônica e/ou de um exemplar impresso e encadernado, depositado na biblioteca do câmpus.","Art 167 - A versão final do TCC fará parte do acervo bibliográfico da instituição, na forma de versão eletrônica e/ou de um exemplar impresso e encadernado, depositado na biblioteca do câmpus.","Organização Didática dos Cursos de Graduação, Título V, Capítulo V, Art 167"
Quais são os turnos em que o IFSP pode oferecer cursos?,"Matutino, vespertino, noturno, integral ou sem turno estabelecido, além da modalidade de educação a distância (EaD).","Art 170 - A Instituição poderá oferecer cursos nos turnos matutinos, vespertino, noturno e integral ou, ainda, sem turno estabelecido, na modalidade de educação a distância (EaD).","TÍTULO VI DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, CAPÍTULO I DA JORNADA ACADÊMICA, Art 170"
Quanto tempo de efetivo trabalho escolar/acadêmico deve ter o calendário acadêmico do IFSP?,"No mínimo, 200 dias letivos","Art 171 - O Calendário Acadêmico, independentemente do ano civil, terá, no mínimo, 200 (duzentos) dias letivos de efetivo trabalho escolar/acadêmico, nos turnos matutino, vespertino e noturno, excluindo o tempo reservado aos exames finais, quando houver.","Título VI DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, Capítulo II DO CALENDÁRIO ACADÊMICO, Art 171"
Quem é responsável por elaborar o calendário acadêmico do IFSP?,A PRE (Pró-Reitoria de Ensino),"Art 173 - A PRE elaborará um modelo do Calendário Acadêmico do ano letivo subsequente e apresentará a todos os câmpus no mês de setembro, para que seja adaptado por estes, com a colaboração e deliberação dos setores de ensino dos mesmos, e, deverá ser aprovado pelo CONCAM.","Título VI DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, Capítulo II DO CALENDÁRIO ACADÊMICO, Art 173"
Quais são os principais componentes do calendário acadêmico do IFSP?,"Feriados, recessos, períodos destinados à realização de eventos educacionais e culturais, dias destinados aos Conselhos de Classe Deliberativo e Pedagógico, entre outros.","Art 174 - O Calendário Acadêmico organizará as vivências administrativo-pedagógicas e ordenará a distribuição dos dias letivos previstos por Lei para cada ano, devendo conter: I - previsão de feriados, recessos e períodos destinados à realização de eventos educacionais e culturais; II - dias destinados aos Conselhos de Classe Deliberativo e Pedagógico (para os cursos da educação básica), Colegiado de Curso (para os cursos superiores); ...","Título VI DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, Capítulo II DO CALENDÁRIO ACADÊMICO, Art 174"
Quem é responsável por aprovar o calendário acadêmico do IFSP?,"O Conselho de Câmpus (CONCAM) ou, na ausência deste, o Diretor-geral","Art 176. Os calendários acadêmicos deverão ser analisados e aprovados pelo Conselho de Câmpus (CONCAM) ou equivalente. Na ausência deste, pelo Diretor-geral, para posterior publicação e envio para a Pró-Reitoria de Ensino (PRE).","Título VI DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, Capítulo II DO CALENDÁRIO ACADÊMICO, Art 176"
O que deve ser feito em caso de alteração do calendário acadêmico do IFSP?,O Diretor-Geral de cada câmpus informará à PRE,"Art 178 - Em casos fortuitos, o Calendário Acadêmico poderá ser alterado, por ato do Diretor-Geral de cada câmpus, que informará à PRE.","Título VI DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, Capítulo II DO CALENDÁRIO ACADÊMICO, Art 178"
Como os cursos de graduação do IFSP são organizados?,Os cursos de graduação do IFSP são organizados em matrícula por componente curricular e são caracterizados pela estrutura curricular com a possibilidade de estabelecimento de pré-requisitos.,Art 180 - Os Cursos de Graduação do IFSP são organizados em matrícula por componente curricular e são caracterizados pela estrutura curricular com a possibilidade de estabelecimento de pré-requisitos.,"TÍTULO VI DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, CAPÍTULO III DO REGIME ACADÊMICO, Art 180"
Como é o período letivo dos cursos de graduação do IFSP?,O período letivo dos cursos de graduação do IFSP pode ser ofertado na forma semestral ou anual.,§ 1º. O período letivo dos cursos organizados em matrícula por componente curricular poderá ser ofertado na forma semestral ou anual.,"TÍTULO VI DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, CAPÍTULO III DO REGIME ACADÊMICO, Art 180, § 1º"
Como é a estrutura curricular dos cursos de graduação do IFSP?,"A estrutura curricular dos cursos de graduação do IFSP é organizada em períodos letivos, considerando o mínimo possível de pré-requisitos, garantindo a flexibilidade curricular.","§ 2º. A estrutura curricular dos cursos deste artigo deverá ser organizada em períodos letivos, considerando o mínimo possível de pré-requisitos, garantindo a flexibilidade curricular, cuja sequência de cumprimento dos componentes curriculares é optativa para os estudantes.","TÍTULO VI DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, CAPÍTULO III DO REGIME ACADÊMICO, Art 180, § 2º"
Quais são as modalidades de cursos oferecidos pelo IFSP?,Os cursos podem ser desenvolvidos nas modalidades presencial ou a distância.,Art 194 - Os cursos poderão ser desenvolvidos nas modalidades presencial ou a distância.,"Organização Didática dos Cursos de Graduação, Título VI, Capítulo V, Art 194"
O que é considerado componente curricular obrigatório no IFSP?,O componente curricular obrigatório é aquele que faz parte da estrutura curricular e que deve ser cursado pelo estudante como requisito para integralização do curso.,"Art 196, § 1º. Considera-se componente curricular obrigatório como aquele que faz parte da estrutura curricular e que deve ser cursado pelo estudante como requisito para integralização do curso;","Organização Didática dos Cursos de Graduação, Título VI, Capítulo V, Art 196"
Quais são os componentes curriculares que podem compor a estrutura curricular dos cursos do IFSP?,"Os componentes curriculares que podem compor a estrutura curricular dos cursos do IFSP são: componentes curriculares obrigatórios, componentes curriculares eletivos, componentes curriculares optativos, estágio, projeto integrador, atividades complementares, atividades acadêmico-culturais, trabalho de conclusão do curso, pré-requisitos e outros componentes curriculares previstos no projeto pedagógico de curso.","Art 196 - As estruturas curriculares dos cursos podem conter: I - componentes curriculares obrigatórios; II - componentes curriculares eletivos; III - componentes curriculares optativos; IV - estágio; V - projeto integrador; VI - atividades complementares, para o Ensino Superior; VII - atividades acadêmico-culturais; VIII - trabalho de conclusão do curso; IX - Pré-requisitos; X - outros componentes curriculares, previstos no projeto pedagógico de curso, que integrem a respectiva estrutura curricular;","Organização Didática dos Cursos de Graduação, Título VI, Capítulo V, Art 196"
Quais são as características dos cursos a distância oferecidos pelo IFSP?,"Os cursos a distância devem contar com a mediação de recursos didáticos sistematicamente organizados, apresentados em diferentes suportes de informação, utilizados isoladamente ou combinados, como previsto nos projetos pedagógicos de curso.","Art 194, § 3º. Os cursos desenvolvidos a distância deverão contar com a mediação de recursos didáticos sistematicamente organizados, apresentados em diferentes suportes de informação, utilizados isoladamente ou combinados, como previsto nos projetos pedagógicos de curso.","Organização Didática dos Cursos de Graduação, Título VI, Capítulo V, Art 194"
Qual é o prazo máximo para integralização curricular nos Cursos de Graduação do IFSP?,O prazo máximo para integralização curricular nos Cursos de Graduação é o dobro dos semestres/anos previstos para conclusão do curso.,"Art 199 - O prazo máximo para integralização curricular nos Cursos de Graduação será o dobro dos semestres/anos previstos para conclusão (conforme PPC do curso), incluindo-se, nesse caso, o estágio obrigatório e demais atividades obrigatórias, e, períodos de trancamento de matrícula;","Organização Didática dos Cursos de Graduação, Título VI, Capítulo V, Art 199"
