question,answer,context,reference,document
"Quem é o responsável pela criação da Portaria nº 3.903, de 4 de novembro de 2015?",O Ministério da Educação,"MINISTÉRIO DA EDUCAÇÃO. INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO.","Portaria nº 3.903, de 4 de novembro de 2015, Título: Portaria nº 3.903, de 4 de novembro de 2015",boituva_portarias
Quem conferiu as atribuições legais ao Diretor-Geral do Campus Boituva do IFSP?,"A Portaria nº 3.903, de 4 de novembro de 2015","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, conferidas pela Portaria nº 3.903, de 4 de novembro de 2015","Portaria nº 3.903, de 4 de novembro de 2015, Art. 1º",boituva_portarias
Quem é o responsável pela Portaria nº 30/2024 - DRG/BTV/IFSP?,"O Diretor-Geral do Campus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo.","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, conferidas pela Portaria nº 3.903, de 4 de novembro de 2015, e considerando o que consta na Portaria nº 2345/IFSP, de 7 de abril de 2021, RESOLVE:","Portaria nº 3.903, de 4 de novembro de 2015, Art. 1º",boituva_portarias
Quem é o responsável pela coordenação da Comissão Própria de Avaliação do Campus Boituva?,O primeiro servidor relacionado na Portaria nº 31/2024 - DRG/BTV/IFSP de 17 de abril de 2024.,"Art 1.º - DESIGNAR, os servidores abaixo relacionados para, sob a coordenação do primeiro, compor a Comissão Própria de Avaliação do Campus Boituva.","Portaria nº 3.903, de 04 de novembro de 2015, Portaria nº 31/2024 - DRG/BTV/IFSP de 17 de abril de 2024, Art 1º.",boituva_portarias
Quais são as atribuições legais do Diretor-Geral do Campus Boituva do IFSP?,"As atribuições legais do Diretor-Geral do Campus Boituva do IFSP são conferidas pela Portaria nº 3.903, de 4 de novembro de 2015.","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, conferidas pela Portaria nº 3.903, de 4 de novembro de 2015...","Portaria nº 3.903, de 4 de novembro de 2015, Art. 1º",boituva_portarias
Quem é o responsável pela fiscalização e acompanhamento do contrato nº 01710/2024?,"A servidora Mariangela Alves Dias, como titular, e o servidor Dirlei Paulino Pinto, como substituto.","Art 1.º - DESIGNAR, a servidora Mariangela Alves Dias; CPF: XXX.144.238-XX como titular e, como substituto o servidor Dirlei Paulino Pinto; CPF: XXX.402.628-XX para nos termos do artigo 67 da Lei nº 8.666/93, exercer a fiscalização e acompanhamento do contrato abaixo relacionado:","Portaria nº 3.903, de 04 de novembro de 2015, Art 1.º",boituva_portarias
"Quem é o responsável pela organização das reuniões da Comissão de Área: Informática, para Atividade Docente do Campus Boituva?",O Presidente da Comissão,"Art 2.º - O Presidente da Comissão supracitada ficará responsável por organizar as reuniões, que deverão ser registradas em ata específica contendo o tema ou pauta da reunião, assinatura dos presentes e deverão ser entregues semestralmente na Direção Adjunta Educacional.","Portaria nº 3.903, de 04 de novembro de 2015, Art 2.º",boituva_portarias
"Quem é o responsável pela Portaria nº 3.903, de 04 de novembro de 2015?",O Ministério da Educação,"MINISTÉRIO DA EDUCAÇÃO. INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO.","Portaria nº 3.903, de 04 de novembro de 2015, Título: MINISTÉRIO DA EDUCAÇÃO. INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO.",boituva_portarias
Quem é o responsável pela Portaria nº 6/2024 - DRG/BTV/IFSP de 7 de fevereiro de 2024?,"O Diretor-Geral do Campus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo, Felipe Augusto Ferreira de Almeida.","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, delegadas pela Portaria nº 3.903 de 04 de novembro de 2015...","Portaria nº 3.903 de 04 de novembro de 2015, Portaria nº 6/2024 - DRG/BTV/IFSP de 7 de fevereiro de 2024, Art 1º",boituva_portarias
Quem delegou as atribuições legais ao Diretor-Geral do Campus Boituva do IFSP?,A Portaria nº 3.903 de 04 de novembro de 2015,"no uso de suas atribuições legais, delegadas pela Portaria nº 3.903 de 04 de novembro de 2015","Portaria nº 3.903 de 04 de novembro de 2015, Art. 1º",boituva_portarias
Quem delegou as atribuições legais ao Diretor Geral do Campus Boituva do IFSP?,"O Ministério da Educação, por meio da Portaria nº 3.903, de 04 de novembro de 2015","O DIRETOR GERAL DO CAMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015, RESOLVE:","Portaria nº 3.903, de 04 de novembro de 2015, Art. 1º",boituva_portarias
Quem é o responsável pela Portaria nº 1/2024 - DRG/BTV/IFSP?,"O Diretor-Geral em exercício do Campus Boituva, do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo.","O DIRETOR-GERAL EM EXERCÍCIO DO CAMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015 e o que diz a PORTARIA Nº 6583/IFSP, de 20 de dezembro de 2021, RESOLVE:","Portaria nº 1/2024 - DRG/BTV/IFSP, de 5 de janeiro de 2024, Art. 1º",boituva_portarias
Quem é o responsável pela Portaria nº 3/2024 - DRG/BTV/IFSP?,"O Diretor-Geral em exercício do Campus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo.","O DIRETOR-GERAL EM EXERCÍCIO DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015...","Portaria nº 3.903, de 04 de novembro de 2015, Art. 1º",boituva_portarias
Quem delegou atribuições legais ao Diretor-Geral em exercício do Campus Boituva?,"A Portaria nº 3.903, de 04 de novembro de 2015","O DIRETOR-GERAL EM EXERCÍCIO DO CAMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015","Portaria nº 3.903, de 04 de novembro de 2015, Art. 1º",boituva_portarias
Quem delegou atribuições legais ao Diretor Geral em exercício do Campus Boituva do IFSP?,O Ministério da Educação,"O DIRETOR GERAL EM EXERCÍCIO DO CAMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015","Portaria nº 3.903, de 04 de novembro de 2015, Art. 1º",boituva_portarias
"Quais são os membros da Comissão de Área: núcleo comum, para Atividade Docente do Câmpus Boituva?","Os membros da Comissão de Área: núcleo comum, para Atividade Docente do Câmpus Boituva são Agnes Cruz de Souza, Marcelo Custodio Cardozo e Ivan Douglas de Souza.","Art 1.º - DESIGNAR, os servidores abaixo relacionados, sob a presidência do primeiro, para compor a Comissão de Área: núcleo comum, para Atividade Docente do Câmpus Boituva,... |NOME|MANDATO| |---|---| |Agnes Cruz de Souza|01.03.2023 à 01.03.2025 (recondução)| |Marcelo Custodio Cardozo|01.03.2023 à 01.03.2025 (primeiro mandato)| |Ivan Douglas de Souza|20.06.2022 a 19.06.2024 (primeiro mandato)|.","PORTARIA Nº 10/2023 - DRG/BTV/IFSP, Art 1.º",boituva_portarias
Quem é o responsável pela Portaria nº 11/2023 - DRG/BTV/IFSP?,"O Diretor-Geral do Câmpus Boituva, do Instituto Federal de Educação, Ciência e Técnicas de São Paulo, Felipe Augusto Ferreira de Almeida.","O DIRETOR-GERAL DO CÂMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015, RESOLVE:","Portaria nº 3.903, de 04 de novembro de 2015, Art 1º",boituva_portarias
"Quais são os membros do Núcleo de Apoio às Pessoas com Necessidades Educacionais Especificas (NAPNE) do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo?","Os membros do NAPNE são: Coordenadora do NAPNE, Diretor Adjunto Educacional ou equivalente, uma pedagoga, uma assistente social, uma psicóloga, um técnico em assuntos educacionais, um tradutor-intérprete de Libras-português, um docente de Libras, um professor de Educação Especial, estudantes PAEE, um representante da família, coordenador de curso ou um representante docente de cada curso que tenha estudantes acompanhados pelo NAPNE, um representante de cada coordenadoria e um representante estudantil e da comunidade externa.","Art 1º - DESIGNAR os membros abaixo relacionados para comporem o Núcleo de Apoio às Pessoas com Necessidades Educacionais Especificas (NAPNE) do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo, nos termos da Portaria Normativa Nº 038/2022 – RET/IFSP, de 16 de fevereiro de 2022, conforme abaixo: ...","PORTARIA Nº 18/2023 - DRG/BTV/IFSP, Art 1º",boituva_portarias
Quem é o responsável pela coordenação do curso Técnico em Automação Industrial Concomitante/Subsequente do Câmpus Boituva?,Adriana Nascimento de Jesus,"Art 1.º - DESIGNAR, os servidores abaixo relacionados para, sob a presidência do primeiro, compor a Comissão de Elaboração e Implementação do PPC do Curso Técnico em Automação Industrial Concomitante/Subsequente do Câmpus Boituva. |Servidor|Representação|Mandato| |---|---|---| |Adriana Nascimento de Jesus|Coordenadora do curso|08.03.2023 à 08.03.2025 (primeiro mandato)|","PORTARIA BTV.078/2022, DE 05 DE OUTUBRO DE 2022, Art 1º",boituva_portarias
"Quais são os membros do Núcleo de Apoio às Pessoas com Necessidades Educacionais Especificas (NAPNE) do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo?","Os membros do NAPNE são: Coordenadora do NAPNE, Diretor Adjunto Educacional ou equivalente, uma pedagoga, uma assistente social, uma psicóloga, um técnico em assuntos educacionais, um tradutor-intérprete de Libras-português, um docente de Libras, um professor de Educação Especial, estudantes PAEE, um representante da família, coordenador de curso ou um representante docente de cada curso que tenha estudantes acompanhados pelo NAPNE, um representante de cada coordenadoria, um representante estudantil e um representante da comunidade externa.","Art 1º - DESIGNAR os membros abaixo relacionados para comporem o Núcleo de Apoio às Pessoas com Necessidades Educacionais Especificas (NAPNE) do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo, nos termos da Portaria Normativa Nº 038/2022 – RET/IFSP, de 16 de fevereiro de 2022, conforme abaixo: ...","PORTARIA Nº 15/2023 - DRG/BTV/IFSP, Art 1º",boituva_portarias
Quem é o diretor-geral do Câmpus Boituva do IFSP?,Felipe Augusto Ferreira de Almeida,"O DIRETOR-GERAL DO CÂMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015 e conforme a Portaria 2582 de 17 de julho de 2020, RESOLVE:","PORTARIA BTV.0078/2021, DE 12 DE OUTUBRO DE 2021, Art 1º",boituva_portarias
"Quais são os membros da Comissão de Área: Educação, para Atividade Docente do Câmpus Boituva?","Os membros da Comissão de Área: Educação, para Atividade Docente do Câmpus Boituva são Cláudio Ferraz Zioli, Katiana de Lima Alves Silva e Karla Paulino Tonus.","Art 1.º - DESIGNAR, os servidores abaixo relacionados para, sob a presidência do primeiro, compor a Comissão de Área: Educação, para Atividade Docente do Câmpus Boituva,. |NOME|MANDATO| |---|---| |Cláudio Ferraz Zioli|10.02.2022 à 09.02.2024 (primeiro mandato)| |Katiana de Lima Alves Silva|28.03.2023 a 28.03.2025 (primeiro mandato)| |Karla Paulino Tonus|28.03.2023 a 28.03.2025 (recondução)|.","PORTARIA BTV.0003/2022, DE 10 DE FEVEREIRO DE 2022, Art. 1º",boituva_portarias
Quem é o responsável pela Portaria nº 19/2023 - DRG/BTV/IFSP de 14 de abril de 2023?,"O Diretor-Geral do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo, Felipe Augusto Ferreira de Almeida.","O DIRETOR-GERAL DO CÂMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015, RESOLVE:","Portaria nº 19/2023 - DRG/BTV/IFSP de 14 de abril de 2023, Art. 1º",boituva_portarias
Quem é o responsável pela Portaria nº 20/2023 - DRG/BTV/IFSP de 14 de abril de 2023?,"O Diretor-Geral do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo, Felipe Augusto Ferreira de Almeida.","O DIRETOR-GERAL DO CÂMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015, RESOLVE:","Portaria nº 20/2023 - DRG/BTV/IFSP de 14 de abril de 2023, Art 1°",boituva_portarias
Quem é o diretor-geral do Câmpus Boituva do IFSP?,Felipe Augusto Ferreira de Almeida,"O DIRETOR-GERAL DO CÂMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015 e conforme a Portaria 2582 de 17 de julho de 2020, RESOLVE:","PORTARIA BTV.0077/2022, DE 04 DE OUTUBRO DE 2022, Art 1º",boituva_portarias
"Quais são os membros da Comissão de Área: núcleo comum, para Atividade Docente do Câmpus Boituva?","Os membros da Comissão de Área: núcleo comum, para Atividade Docente do Câmpus Boituva são Ivan Douglas de Souza, Agnes Cruz de Souza e Marcelo Custodio Cardozo.","Art 1.º - DESIGNAR, os servidores abaixo relacionados, sob a presidência do primeiro, para compor a Comissão de Área: núcleo comum, para Atividade Docente do Câmpus Boituva,. |NOME|MANDATO| |---|---| |Ivan Douglas de Souza|20.06.2022 a 19.06.2024 (primeiro mandato)| |Agnes Cruz de Souza|01.03.2023 à 01.03.2025 (recondução)| |Marcelo Custodio Cardozo|01.03.2023 à 01.03.2025 (primeiro mandato)|.","PORTARIA BTV.0010/2023, DE 13 DE MARÇO DE 2023, Art 1.º",boituva_portarias
Quem é o responsável pela Portaria nº 21/2023 - DRG/BTV/IFSP de 19 de abril de 2023?,"O Diretor-Geral do Câmpus Boituva, do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo.","O DIRETOR-GERAL DO CÂMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015 e conforme a Portaria 2582 de 17 de julho de 2020, RESOLVE:","Portaria nº 21/2023 - DRG/BTV/IFSP de 19 de abril de 2023, Art. 1º",boituva_portarias
Quem é o responsável pela Portaria nº 75/2023 - DRG/BTV/IFSP?,"O Diretor-Geral do Campus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo.","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, conferidas pela Portaria nº 3.903, de 4 de novembro de 2015, RESOLVE:","Portaria nº 3.903, de 4 de novembro de 2015, Art 1º",boituva_portarias
Quem é o responsável pela Portaria nº 73/2023 - DRG/BTV/IFSP?,"O Diretor-Geral do Campus Boituva, Felipe Augusto Ferreira de Almeida","O DIRETOR-GERAL DO Campus Boituva DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições delegadas pela Portaria nº 3.790, de 23 de novembro de 2018, RESOLVE:","Portaria nº 3.790, de 23 de novembro de 2018, Art 1º",boituva_portarias
Quem delegou atribuições ao Diretor-Geral do Campus Boituva do IFSP?,O Ministério da Educação,"no uso de suas atribuições delegadas pela Portaria nº 3.790, de 23 de novembro de 2018","Portaria nº 3.790, de 23 de novembro de 2018, Art 1º",boituva_portarias
Quem delegou atribuições legais ao Diretor-Geral do Campus Boituva do IFSP?,O Ministério da Educação,"no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015","Portaria nº 3.903, de 04 de novembro de 2015, Art. 1º",boituva_portarias
"Quem conferiu as atribuições legais ao Diretor-Geral do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo?","A Portaria nº 3.903, de 4 de novembro de 2015","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, conferidas pela Portaria nº 3.903, de 4 de novembro de 2015...","Portaria nº 3.903, de 4 de novembro de 2015, Art. 1º",boituva_portarias
"Quais são as atribuições legais do Diretor-Geral do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo?","As atribuições legais do Diretor-Geral do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo são conferidas pela Portaria nº 3.903, de 4 de novembro de 2015.","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, conferidas pela Portaria nº 3.903, de 4 de novembro de 2015, ...","Portaria nº 3.903, de 4 de novembro de 2015, Art. 1º",boituva_portarias
Quem é o responsável pela delegação de atribuições legais ao Diretor-Geral do Campus Boituva do IFSP?,O Ministério da Educação,"MINISTÉRIO DA EDUCAÇÃO. INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO. CAMPUS BOITUVA. PORTARIA Nº 48/2023 - DRG/BTV/IFSP DE 25 DE AGOSTO DE 2023 O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, delegadas pela Portaria nº 3.903 de 04 de novembro de 2015","Portaria nº 3.903 de 04 de novembro de 2015, Portaria nº 48/2023 - DRG/BTV/IFSP",boituva_portarias
Quem é o responsável pela fiscalização e acompanhamento do contrato nº 03710/2022 do Campus Boituva do IFSP?,"O servidor Helton Moreira de Almeida, CPF: XXX.942.285-XX, como titular, e o servidor Marcelo Monteiro; CPF: XXX.976.578-XX como substituto.","Art 1.º - DESIGNAR, o servidor Helton Moreira de Almeida, CPF: XXX.942.285-XX como titular e, como substituto o servidor Marcelo Monteiro; CPF: XXX.976.578-XX para nos termos do artigo 67 da Lei nº 8.666/93, exercer a fiscalização e acompanhamento do contrato abaixo relacionado:","Portaria nº 3.903, de 04 de novembro de 2015, Art 1.º",boituva_portarias
Quem é o responsável pela Portaria nº 43/2023 - DRG/BTV/IFSP de 24 de agosto de 2023?,"O Diretor-Geral do Campus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo, Felipe Augusto Ferreira de Almeida.","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, delegadas pela Portaria nº 3.903, de 04 de novembro de 2015, e o que consta na RESOLUÇÃO NORMATIVA IFSP N.º 09/2022, DE 06 DE SETEMBRO DE 2022, RESOLVE:","Portaria nº 3.903, de 04 de novembro de 2015, e Portaria nº 43/2023 - DRG/BTV/IFSP de 24 de agosto de 2023",boituva_portarias
Quem é o responsável pela coordenação da Comissão de Divulgação do Campus Boituva?,O presidente da Comissão,"Art 2º - Ficará a cargo da Coordenação da Comissão, organizar as reuniões, que deverão ser registradas em ata específica contendo o tema ou pauta da reunião e assinaturas dos presentes.","Portaria nº 3.903, de 04 de novembro de 2015, Art 2º",boituva_portarias
"Quem é o responsável pela Portaria nº 3.903, de 04 de novembro de 2015?",O Ministério da Educação,"MINISTÉRIO DA EDUCAÇÃO. INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO.","Portaria nº 3.903, de 04 de novembro de 2015, Título: Portaria nº 3.903, de 04 de novembro de 2015",boituva_portarias
"Quem é o responsável pela coordenação do Comitê de Pesquisa, Inovação e Pós-graduação (COMPESQ) do Campus Boituva?","A coordenação do Comitê é responsável por organizar as reuniões, que deverão ser registradas em ata específica contendo o tema ou pauta da reunião e assinaturas dos presentes.","Art 2º - Ficará a cargo da Coordenação do Comitê, organizar as reuniões, que deverão ser registradas em ata específica contendo o tema ou pauta da reunião e assinaturas dos presentes.","Portaria nº 3.903, de 04 de novembro de 2015, Portaria nº 45/2023 - DRG/BTV/IFSP de 25 de agosto de 2023, Art 2º",boituva_portarias
Qual é a origem da delegação de atribuições legais do Diretor-Geral do Campus Boituva do IFSP?,"A delegação de atribuições legais do Diretor-Geral do Campus Boituva do IFSP tem origem na Portaria nº 3.903, de 04 de novembro de 2015.","O DIRETOR-GERAL DO CAMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015...","Portaria nº 3.903, de 04 de novembro de 2015, Art. 1º",boituva_portarias
Quem delegou atribuições legais ao Diretor-Geral do Campus Boituva do IFSP?,"A Portaria nº 3.903, de 04 de novembro de 2015","O DIRETOR-GERAL DO CAMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015","Portaria nº 3.903, de 04 de novembro de 2015, Art. 1º",boituva_portarias
